Year	Survey	SSB	Fspr	Ebio
1996	NA	584.6	49	779.2
1997	7.7841	605.7	43	809.6
1998	6.9727	591.8	42	762.7
1999	6.2649	567.1	40	746.8
2000	6.6265	529.5	40	688.3
2001	6.3842	483.9	38	603
2002	6.3893	434.5	34	532.2
2003	5.7876	382.6	30	460.5
2004	6.4579	339.5	28	403.6
2005	5.9282	299.5	26	352.6
2006	5.4306	266.7	26	307.9
2007	5.7267	241.5	25	266.9
2008	5.6536	224.4	25	236.3
2009	5.4952	204.6	26	203.9
2010	5.1239	197.8	27	186.4
2011	5.0435	195.3	31	175.6
2012	5.5606	197.2	35	169.2
2013	4.7301	203.9	38	168.8
2014	5.1645	208.5	43	169.7
