Year	Commercial	Bycatch	Sport	Personal
1990	64980	17682	5586	0
1991	60545	19670	6509	2011
1992	62386	20293	6179	1114
1993	61314	15964	7725	933
1994	57242	16952	7065	928
1995	44814	15932	7462	542
1996	48497	14464	8083	543
1997	66644	13513	9025	543
1998	71474	13158	8586	740
1999	75954	13544	7379	745
2000	69743	13022	9009	757
2001	72387	12875	8104	772
2002	76380	12329	8012	771
2003	75221	12308	9347	1376
2004	75414	12290	10703	1548
2005	74038	12970	10859	1537
2006	70443	12793	10191	1481
2007	65459	11989	11461	1486
2008	61328	11602	10673	1344
2009	54989	11083	8783	1308
2010	52927	10348	7847	1239
2011	41974	9416	7103	1144
2012	33654	10103	6772	1140
2013	30472	8841	7588	1137
2014	24977	9315	7083	1137
